Restaurant Name,City,Cuisines,Aggregate rating,Average Cost for two
Roti N Boti,New Delhi,"North Indian, Fast Food, Mughlai",3.5,300
Annapurna Caters,New Delhi,North Indian,0.0,200
Ashoka's Ice Zone,New Delhi,"Ice Cream, Beverages",0.0,150
Bikaner Sweets & Pastry Corner,New Delhi,"Mithai, Street Food",0.0,100
Bikaner Sweets,New Delhi,"Bakery, Mithai",0.0,250
Dee Pizza Hub,New Delhi,Pizza,0.0,350
Flavors of London,New Delhi,"Desserts, Ice Cream, Fast Food",0.0,200
Funduz Cafe,New Delhi,Fast Food,0.0,300
Giani,New Delhi,"Ice Cream, Desserts",0.0,300
Grover Sweets Rajouri Wala,New Delhi,"Mithai, Street Food",0.0,200
Guru Kripa Chicken Corner,New Delhi,North Indian,0.0,250
Health-O-Lic,New Delhi,"Healthy Food, Juices",0.0,500
Himalya Chinese,New Delhi,Chinese,0.0,300
KindBhutani's,New Delhi,"South Indian, Fast Food, Chinese",0.0,350
Mama Bhanja Corner,New Delhi,North Indian,0.0,500
Mama Tao,New Delhi,Chinese,0.0,250
Manpasand Punjabi Zaika,New Delhi,North Indian,0.0,350
Pal Restaurant,New Delhi,"North Indian, Chinese",0.0,250
Pizza Station,New Delhi,Fast Food,0.0,250
Punjabi Dhaba,New Delhi,North Indian,0.0,300
Punjabi Virsa,New Delhi,"North Indian, Chinese, Mughlai",0.0,700
Sahib Jhatka Chicken Shop,New Delhi,North Indian,0.0,250
Salt & Peppers,New Delhi,Chinese,0.0,500
Sethi Ice Cream Parlour,New Delhi,"Desserts, Beverages",0.0,150
Shah Ji Di Rasoi,New Delhi,Street Food,0.0,200
Shawarma Wala,New Delhi,Fast Food,0.0,300
Snazzy Delights,New Delhi,Bakery,0.0,300
South Indian Hut,New Delhi,South Indian,0.0,200
T-2 Di Hatti,New Delhi,Street Food,0.0,100
The Second Wife Kitchen,New Delhi,North Indian,0.0,500
Today Pizza,New Delhi,Fast Food,0.0,250
Turban Tadka,New Delhi,"North Indian, Fast Food",0.0,250
Wah Shah Ji Wah,New Delhi,North Indian,0.0,300
Wah Wah Chicken Corner,New Delhi,North Indian,0.0,400
Brijwasi Sweet and Namkeen,New Delhi,"Street Food, Mithai",0.0,100
Khana Khazana,New Delhi,"North Indian, Mughlai, Chinese, Bakery",3.7,800
Ahad Sons Restaurant,New Delhi,Kashmiri,3.4,750
Jughead's Fast Food Corner,New Delhi,"Chinese, Fast Food, North Indian",3.6,500
The Coffee Bond,New Delhi,Cafe,4.2,700
Wow! Momo,New Delhi,"Tibetan, Chinese",2.9,350
Domino's Pizza,New Delhi,"Pizza, Fast Food",3.6,700
Haldiram's,New Delhi,"Mithai, North Indian, South Indian",3.7,500
Keventers,New Delhi,Beverages,3.8,400
Pat 'N' Harry,New Delhi,American,2.3,400
"34, Chowringhee Lane",New Delhi,Fast Food,3.1,200
Aggarwal Sweets,New Delhi,Mithai,2.8,100
Amritsari Dhaba,New Delhi,North Indian,2.9,250
Apna Swad,New Delhi,"North Indian, Chinese, Fast Food",2.9,500
ATM Food Corner,New Delhi,North Indian,3.0,200
Burger House,New Delhi,"Burger, Fast Food",2.8,200
Cafe De Bienka,New Delhi,"Fast Food, Chinese",2.7,350
Chatkaara Point,New Delhi,"Fast Food, Chinese",2.9,250
Dharma Punjabi Dhaba,New Delhi,North Indian,2.7,300
Domino's Pizza,New Delhi,"Pizza, Fast Food",2.5,700
Flavourz Factoree,New Delhi,"Fast Food, Chinese, Bakery",3.1,300
Gabbar Chowmein,New Delhi,Fast Food,3.0,100
Gayatri's Break Point Restaurant,New Delhi,"North Indian, South Indian, Chinese, Fast Food",3.1,300
Grover Sweets & Bakers,New Delhi,"Street Food, Chinese, Mithai",3.3,150
Khalsa Veg Corner,New Delhi,"North Indian, Fast Food",3.1,300
Lajawab Chinese Food,New Delhi,"Chinese, North Indian, Fast Food",3.0,300
Lajwab Bakery,New Delhi,Bakery,3.1,100
Maharani Rasoi,New Delhi,North Indian,3.0,150
Natkhat Bakers,New Delhi,"Bakery, Fast Food",3.1,300
Pastry Palace,New Delhi,"Bakery, Street Food",3.2,350
Punjabi Tadka,New Delhi,"North Indian, Chinese",2.7,500
Radha Swami Vaishno Dhaba,New Delhi,North Indian,3.0,200
Scoops,New Delhi,"Beverages, Fast Food",2.8,200
Shah Bakery,New Delhi,"Fast Food, Bakery",3.0,400
Shahi Kachauri Wale,New Delhi,Street Food,2.8,50
Shahi Kachauri,New Delhi,Street Food,2.8,50
Shri Bikaner Sweets,New Delhi,"Fast Food, South Indian, Chinese, Mithai",2.9,250
Shri Krishna Vaishno Dhaba,New Delhi,North Indian,3.0,300
Shri Murli Wala,New Delhi,"North Indian, South Indian, Chinese, Street Food",2.8,400
Shri Radha Ki Rasoi,New Delhi,"North Indian, Chinese, South Indian",2.8,300
Singh's Ice Cream Parlour,New Delhi,"Ice Cream, Desserts, Fast Food",3.0,200
Swastik Restaurant,New Delhi,"Chinese, South Indian, North Indian",2.7,400
Tanatan Corner,New Delhi,North Indian,2.9,200
Tasty Bite,New Delhi,"North Indian, Chinese",2.8,650
Aggarwal Jalebi Wale,New Delhi,Street Food,0.0,50
Aggarwal Sweets,New Delhi,"Mithai, Street Food, North Indian",0.0,200
Arora Pastry Palace,New Delhi,"Bakery, Fast Food",0.0,100
Chinese Chatorey Xpress,New Delhi,"Chinese, North Indian, Fast Food",0.0,250
Chocochill,New Delhi,Desserts,0.0,250
Da Pizza Zone,New Delhi,"Pizza, Fast Food",0.0,600
Food N Shakes,New Delhi,"Chinese, Fast Food",0.0,250
Green Chick Chop,New Delhi,"Raw Meats, Fast Food",0.0,350
Grover Sweets,New Delhi,"Street Food, Chinese",0.0,250
J V's Fried Chicken,New Delhi,Fast Food,0.0,300
Kamal Chat Bhandar,New Delhi,Street Food,0.0,100
Khalsa Chicken Corner,New Delhi,"North Indian, Mughlai",0.0,250
Lala Da Shudh Vaishno Dhaba,New Delhi,North Indian,0.0,200
Madras Cafe,New Delhi,South Indian,0.0,200
New China Town,New Delhi,Chinese,0.0,300
Pick & Carry,New Delhi,Fast Food,0.0,200
Punjabi Chicken,New Delhi,North Indian,0.0,400
Sandwiches 'N' More,New Delhi,"Fast Food, Chinese",0.0,250
Sapna Restaurant,New Delhi,"North Indian, Chinese",0.0,200
Sargam Sweets,New Delhi,"Desserts, Street Food",0.0,150
Tandoori Theka,New Delhi,"Mughlai, North Indian",0.0,450
The Darjiling Delicious Chinese Food,New Delhi,Chinese,0.0,100
Veg Darbar - The Royal Taste,New Delhi,"North Indian, Chinese",0.0,400
Veg. Darbar,New Delhi,"North Indian, Chinese",0.0,400
Wah Ji Wah,New Delhi,North Indian,2.4,400
Cafe Coffee Day,New Delhi,Cafe,2.6,450
Chalte Firte Momos,New Delhi,"Fast Food, Chinese",2.6,300
Chutneez Restaurant Lounge & Bar,New Delhi,"North Indian, Chinese, Mughlai",2.7,1200
Domino's Pizza,New Delhi,"Pizza, Fast Food",3.4,700
Fattoush,New Delhi,Lebanese,2.9,200
Keventers,New Delhi,Beverages,3.3,400
Kutty's South Indian Cafe,New Delhi,South Indian,3.4,250
Mandrain,New Delhi,Chinese,2.8,450
Nazeer Foods,New Delhi,"Mughlai, North Indian",3.4,600
Nirula's Ice Cream,New Delhi,"Desserts, Ice Cream",3.0,250
Punjabi Tadka,New Delhi,North Indian,2.8,400
Rocking Woods,New Delhi,"North Indian, Chinese, Fast Food",2.6,1200
Shawarma Wala,New Delhi,Fast Food,2.5,250
Subway,New Delhi,"American, Fast Food, Salad, Healthy Food",2.5,500
The Yellow Chilli,New Delhi,"North Indian, Mughlai",2.7,1500
The Yummy Chilli,New Delhi,"Mughlai, North Indian",2.9,600
United Punjab,New Delhi,"North Indian, Mughlai",2.5,600
McDonald's,New Delhi,"Fast Food, Burger",3.6,500
Vintro,New Delhi,Cafe,3.9,350
Wow! Momo,New Delhi,"Tibetan, Chinese",3.5,350
"34, Chowringhee Lane",New Delhi,Fast Food,2.3,350
Kebab Xpress,New Delhi,"North Indian, Mughlai",2.4,600
Moti Mahal Delux Tandoori Trail,New Delhi,"North Indian, Mughlai",2.2,1000
Pizza Hut,New Delhi,"Italian, Pizza, Fast Food",2.4,1000
The Golden Dragon,New Delhi,"Chinese, Seafood, Japanese",2.4,1500
Yo! China,New Delhi,Chinese,2.0,900
Hawkers,New Delhi,Chinese,3.4,600
Nirula's,New Delhi,"Fast Food, North Indian, Desserts, Ice Cream",3.0,1100
Sagar Ratna,New Delhi,"South Indian, North Indian",2.8,600
Tribe,New Delhi,"Continental, Seafood, North Indian",3.3,2200
Angels in my Kitchen,New Delhi,"Bakery, Desserts, Fast Food",3.7,350
Beijing Street,New Delhi,"Chinese, Thai, Fast Food",3.8,650
Bun Intended,New Delhi,"Burger, American, Fast Food",3.8,850
Captain Chang,New Delhi,"Chinese, Thai",3.9,1000
Captain Grub,New Delhi,"American, Fast Food",3.8,1000
Clemency- The Restaurant & Cafe,New Delhi,"Continental, Italian, North Indian, Chinese, Lebanese",3.8,900
Flaming Chilli Pepper,New Delhi,"Chinese, Italian, North Indian",3.8,900
Hong Kong Express,New Delhi,"Chinese, Thai",3.7,800
Majeed's,New Delhi,"Mughlai, North Indian",3.5,800
Majlis-e-Mughal,New Delhi,Mughlai,3.5,900
Mickey's Kitchen,New Delhi,"Continental, American, Italian",3.9,950
Nanking,New Delhi,"Chinese, Seafood",3.6,1500
Nawab Dera,New Delhi,"North Indian, Mughlai, Biryani",3.8,650
The Cafe,New Delhi,Cafe,3.8,1000
The Village CafÃ­Â©,New Delhi,"Cafe, American, Italian, North Indian, Chinese",3.7,700
Cookfresh,New Delhi,Asian,0.0,800
Cafe Connect,New Delhi,"Cafe, Bakery",4.2,700
Happy Hakka,New Delhi,Chinese,4.1,650
Indian Saffron Co.,New Delhi,"North Indian, Mughlai",4.2,900
DCK- Dana Choga's Kitchen,New Delhi,"North Indian, Mughlai",2.9,800
Domino's Pizza,New Delhi,"Pizza, Fast Food",2.8,700
Sagar Ratna,New Delhi,"South Indian, North Indian",3.3,600
Shree Bhagatram,New Delhi,"North Indian, Chinese, South Indian, Mithai",3.3,650
Subway,New Delhi,"American, Fast Food, Salad, Healthy Food",2.5,500
Biryani Blues,New Delhi,"Biryani, Hyderabadi",3.9,750
Kebab Gali,New Delhi,"North Indian, Mughlai, Biryani",3.9,600
KFC,New Delhi,"American, Fast Food",3.6,500
Tipu Sultan,New Delhi,"North Indian, Mughlai",3.7,850
Angels in my Kitchen,New Delhi,"Bakery, Desserts, Fast Food",3.2,350
Barista,New Delhi,Cafe,3.3,650
Bengal Sweet Palace,New Delhi,"Mithai, Street Food",3.3,150
Bread'D Bites,New Delhi,"Bakery, Desserts, Fast Food",3.1,150
Chinese Hut,New Delhi,Chinese,3.4,400
Foodland by Orchid,New Delhi,"North Indian, South Indian, Mughlai",2.9,900
From The Kitchen of Mala Bindra,New Delhi,Bakery,3.1,250
Go Kylin,New Delhi,"Japanese, Chinese, Asian, Malaysian, Thai, Vietnamese",2.8,1500
Green Chick Chop,New Delhi,"Raw Meats, North Indian, Fast Food",3.3,350
Hawkers,New Delhi,Chinese,2.7,300
HotPlate,New Delhi,"Fast Food, North Indian",3.1,150
New Janta Restaurant,New Delhi,"North Indian, Mughlai",3.1,600
Rainbows,New Delhi,"Bakery, Fast Food",3.2,400
Sinfully Yours,New Delhi,"Bakery, Desserts",3.3,300
Slice of Italy,New Delhi,"Italian, Pizza, Bakery",2.8,700
Spice Deli,New Delhi,"North Indian, Chinese",3.3,1100
Twenty Four Seven,New Delhi,"Fast Food, North Indian",3.1,300
Uncle Tom's Steamed Hot Dogs,New Delhi,Fast Food,3.3,200
AOWLS,New Delhi,"Chinese, Fast Food",3.5,300
Costa Coffee,New Delhi,Cafe,3.6,600
Georgia Dakota,New Delhi,"Bakery, Desserts",3.6,450
Instapizza After Hours,New Delhi,"Pizza, Fast Food",3.5,900
The Pint Room,New Delhi,"Finger Food, Continental, Italian",3.7,1700
Anthony's Kitchen,New Delhi,"North Indian, South Indian",0.0,250
Bakermania,New Delhi,"Bakery, Fast Food",0.0,400
Cafe Coffee Day,New Delhi,Cafe,0.0,450
Cones & Curries,New Delhi,North Indian,0.0,300
Giani,New Delhi,"Ice Cream, Desserts",0.0,400
Kaptain Bakery,New Delhi,Bakery,0.0,200
Kayasth Cuisine,New Delhi,Mughlai,0.0,1000
Mahinder Food Corner,New Delhi,"North Indian, Street Food",0.0,200
Mohanty Bakery & Confectionery,New Delhi,Bakery,0.0,200
Practically Perfect,New Delhi,"Bakery, Desserts",0.0,500
Take Away Depot,New Delhi,"Chinese, Mughlai, North Indian",0.0,600
The Artful Baker,New Delhi,"Bakery, Fast Food",0.0,600
Perch Wine & Coffee Bar,New Delhi,"Cafe, European",4.3,2000
Aggarwal Confectionary,New Delhi,"Street Food, Bakery",2.8,50
Aggarwal Sweet Corner,New Delhi,"Mithai, Street Food",2.9,150
Ananda's,New Delhi,"South Indian, Chinese",3.0,350
Ankur Family Restaurant,New Delhi,"North Indian, Chinese",2.8,500
Ayush Restaurant,New Delhi,North Indian,3.2,400
Chef's Paradise,New Delhi,"North Indian, Mughlai, Chinese",3.1,400
Domino's Pizza,New Delhi,"Pizza, Fast Food",2.6,700
Fatafat Fast Food,New Delhi,"Chinese, Fast Food",3.3,450
Giani,New Delhi,"Ice Cream, Desserts",3.0,300
Green Tea Fanatics,New Delhi,"Beverages, Fast Food",3.4,250
Khansama,New Delhi,"North Indian, Mughlai",3.3,350
Pauls Food,New Delhi,"North Indian, Chinese",2.9,550
Punjabi Vaishno Rasoi,New Delhi,North Indian,2.9,200
Republic of Chicken,New Delhi,"Raw Meats, Fast Food",2.9,400
Taj Sweets,New Delhi,Mithai,3.1,100
The Cake,New Delhi,Bakery,3.0,200
The Food Court,New Delhi,"Fast Food, Chinese",3.7,400
Adi's Restaurant,New Delhi,North Indian,0.0,300
Aggarwal Sweet & Bakers,New Delhi,"Mithai, Street Food",0.0,150
Aggarwal Sweets,New Delhi,Desserts,0.0,150
Aggarwal Sweets,New Delhi,"Mithai, Street Food",0.0,100
Always Eat Green,New Delhi,"North Indian, South Indian, Chinese",0.0,300
Anjali Resaturant,New Delhi,North Indian,0.0,200
Annapoorna Bhojanalya,New Delhi,North Indian,0.0,100
Anupam Eating Point,New Delhi,North Indian,0.0,150
Bikaner Rasoi,New Delhi,North Indian,0.0,250
Cafe Mom,New Delhi,North Indian,0.0,100
Cafe Youth,New Delhi,Chinese,0.0,350
Cake Express,New Delhi,Bakery,0.0,350
Cake Knighter,New Delhi,Bakery,0.0,300
Catchup Green,New Delhi,Fast Food,0.0,300
D Food,New Delhi,"North Indian, Street Food",0.0,200
Delicious Cake,New Delhi,Bakery,0.0,300
Famous Parantha and Poori Sabzi,New Delhi,North Indian,0.0,50
FM Biryani Point,New Delhi,Biryani,0.0,150
Food Plaza,New Delhi,"Chinese, Fast Food",0.0,250
Foodiez,New Delhi,Street Food,0.0,150
Goli Vada Pav No. 1,New Delhi,Street Food,0.0,100
Hyderabad's Delight,New Delhi,"Hyderabadi, Biryani",0.0,400
Khan Tandoori Hub,New Delhi,"North Indian, Mughlai",0.0,500
Khan Tandoori Nights,New Delhi,Mughlai,0.0,400
Meatwale.com,New Delhi,Raw Meats,0.0,150
New Aggarwal Sweets & Fast Food,New Delhi,"Mithai, Fast Food",0.0,150
Night Munchers,New Delhi,North Indian,0.0,500
Old Moradabadi Chicken Corner,New Delhi,North Indian,0.0,400
Richa's Bakery,New Delhi,Bakery,0.0,400
Riyaz Biryani Corner,New Delhi,"Biryani, North Indian",0.0,150
Rudra The Dhaba,New Delhi,North Indian,0.0,200
Seven Star Pizza,New Delhi,Pizza,0.0,400
Shahi Muradabadi Chicken Biryani,New Delhi,Biryani,0.0,150
Shree Krishna Restaurant,New Delhi,"North Indian, Chinese",0.0,200
Shree Sai Bhog,New Delhi,"Chinese, North Indian, South Indian",0.0,250
Soni Food Court,New Delhi,North Indian,0.0,150
South Street Cafe,New Delhi,South Indian,0.0,200
Special Chicken Biryani,New Delhi,Biryani,0.0,100
Sweets n Treats,New Delhi,Street Food,0.0,50
The Royal Prestige,New Delhi,"North Indian, South Indian",0.0,100
Twenty Four Seven,New Delhi,"Fast Food, North Indian",0.0,300
Two Friends Roll Corner,New Delhi,"Fast Food, Street Food",0.0,100
Waikiki,New Delhi,"Chinese, North Indian",0.0,400
Zaika Chicken Corner,New Delhi,"Biryani, North Indian",0.0,150
Zombiez,New Delhi,"Chinese, North Indian",0.0,500
366 Junction,New Delhi,"Cafe, North Indian, Chinese",3.3,800
Black & Brew,New Delhi,Chinese,3.1,300
Hari Om Bhojanalaya,New Delhi,North Indian,3.4,300
Nalwa's Hotspot,New Delhi,Chinese,3.1,300
Pasta Hub,New Delhi,Italian,3.0,200
Rock n Wood Cafe,New Delhi,"North Indian, Chinese",3.4,500
Roll Corner,New Delhi,Fast Food,3.3,200
Shree Nandhini Cafe,New Delhi,"South Indian, Chinese",3.3,350
Sindhi Dhaba,New Delhi,North Indian,2.9,200
Take N Taste,New Delhi,"North Indian, Chinese",3.1,400
Taxi Bar & Cafe,New Delhi,"North Indian, Chinese, Fast Food",3.3,800
The Little Diner,New Delhi,"Continental, Chinese, Italian, Cafe",3.4,800
Cafeteria & Co.,New Delhi,"Continental, Mexican",4.6,900
Burger Point,New Delhi,"Burger, Fast Food",3.8,300
Cafe All-Inn,New Delhi,"Cafe, Mexican, Italian, North Indian, Chinese",3.8,600
Chowringhee,New Delhi,Fast Food,3.5,250
Flamess Restaurant & Cafe Village,New Delhi,"North Indian, Chinese, Continental, Italian, Mexican, Lebanese",3.5,700
Jack 'n' Chill,New Delhi,"American, Italian, Cafe",3.6,500
Kake Di Hatti,New Delhi,North Indian,3.6,400
Mad Monkey,New Delhi,"Cafe, Continental, Italian",3.7,800
Manohar Cakes & Bikaneri,New Delhi,"Mithai, Fast Food",3.5,150
Shagun,New Delhi,"Chinese, Thai, Tibetan, Japanese",3.9,800
Shyam Chaat Bhandar,New Delhi,Street Food,3.5,150
Telegram,New Delhi,"Cafe, North Indian, Continental, Chinese",3.5,700
The University Bistro,New Delhi,"Cafe, Italian, Continental, Mexican, Mediterranean",3.6,500
736 A.D.,New Delhi,"North Indian, Continental, Italian, Chinese",4.1,900
Big Yellow Door,New Delhi,"Cafe, Italian, Fast Food",4.3,600
Mr. Crust Bakers,New Delhi,"Bakery, Desserts, Fast Food",4.2,400
Phonebooth CafÃ­Â©,New Delhi,"North Indian, Continental, Chinese, Italian",4.1,800
Tony's,New Delhi,Fast Food,4.4,200
Wake 'n' Bake Cafe,New Delhi,"Fast Food, Bakery",4.0,350
Gabbar Di Hatti,New Delhi,"North Indian, Mughlai",3.4,300
Chennai Express,New Delhi,"Chinese, South Indian",0.0,300
1990's,New Delhi,"North Indian, Mughlai",3.3,250
Amul Cafe,New Delhi,"Desserts, Fast Food",3.3,300
Burger Point,New Delhi,"Burger, Fast Food",3.4,300
Buta Singh Da Dhabba,New Delhi,North Indian,2.8,150
Cafe Amigo,New Delhi,Cafe,3.0,400
Cafe Coffee Day,New Delhi,Cafe,3.0,450
Cake Palace,New Delhi,Bakery,2.7,200
Carara,New Delhi,"North Indian, Chinese",2.6,500
Channi Pishori Chicken,New Delhi,Mughlai,3.3,400
Chatkora Food N Snacks Corner,New Delhi,Fast Food,2.9,350
Chetana Bakes,New Delhi,Bakery,3.0,400
Chily Hut,New Delhi,"Chinese, North Indian",3.2,750
De' Bistro,New Delhi,"Chinese, Fast Food",3.3,850
Deep Bakers,New Delhi,"Fast Food, Bakery",3.2,100
Delhi 6,New Delhi,North Indian,2.6,350
Finest Pizzeria,New Delhi,Pizza,3.1,600
Food Lab,New Delhi,"Chinese, Biryani, North Indian",3.0,300
Goli Vada Pav No. 1,New Delhi,Street Food,3.3,100
Grover Sweets,New Delhi,"Mithai, Street Food",3.1,100
Hema Chinese Foods,New Delhi,Chinese,3.3,300
Hunger Stop,New Delhi,"North Indian, Mughlai",3.2,600
Ishwar Sweets,New Delhi,Chinese,3.4,300
Kathi Express,New Delhi,"Fast Food, Chinese",2.6,500
Kream's,New Delhi,"Bakery, Fast Food, Pizza",3.1,200
Madras Cafe,New Delhi,"South Indian, Fast Food",3.3,300
Mandeep Punjabi Rasoi,New Delhi,North Indian,3.0,200
Masti Curry,New Delhi,North Indian,2.8,350
New Madras Cafe,New Delhi,"South Indian, Fast Food",3.1,300
Pakwan,New Delhi,"Chinese, North Indian",2.8,600
Patiala Shahi Soups,New Delhi,Mughlai,3.1,300
Pizza Yum,New Delhi,"Pizza, Fast Food",3.1,650
Polka Pastry & Snack Bar,New Delhi,"Bakery, Fast Food",2.7,350
Red Hot,New Delhi,North Indian,3.3,350
Republic of Chicken,New Delhi,"Raw Meats, Fast Food",3.1,400
Sai Ann Kutir,New Delhi,"Chinese, North Indian",2.8,400
Saravana South Indian Hut,New Delhi,South Indian,3.2,250
Sardar Pure Meat Shop,New Delhi,"Raw Meats, Fast Food",3.2,300
Shama Chicken Corner,New Delhi,"North Indian, Mughlai",3.1,400
Shan E Punjab,New Delhi,"North Indian, South Indian",3.4,550
Shanghai Nights,New Delhi,Chinese,2.8,450
Shree Ram Sweets & Bakers,New Delhi,Mithai,3.0,100
Sindhi Kulfi Wala,New Delhi,Desserts,3.0,100
South Indian Cafe,New Delhi,"South Indian, Chinese",3.3,350
South Indian Hut,New Delhi,South Indian,3.4,250
Spinns Resto-Bar,New Delhi,"North Indian, Chinese",2.6,800
Subway,New Delhi,"American, Fast Food, Salad, Healthy Food",2.6,500
Taneja Bakery,New Delhi,Bakery,3.2,200
Tequila Express,New Delhi,"North Indian, Chinese",3.4,1150
The China Town,New Delhi,Chinese,3.4,600
THS - The Hunger Street,New Delhi,"North Indian, Mughlai, Chinese",3.2,600
True Blue,New Delhi,"North Indian, Chinese",3.2,1100
Twenty Four Seven,New Delhi,"Fast Food, North Indian",3.1,300
Your's Chole Bhature,New Delhi,Street Food,2.6,100
Baskin Robbins,New Delhi,Ice Cream,3.5,300
Pure Punjabi,New Delhi,"North Indian, Fast Food",3.5,700
Brick Station,New Delhi,Cafe,0.0,600
Food Factory,New Delhi,"Chinese, Fast Food",0.0,300
Pastry Point,New Delhi,"Bakery, Fast Food",0.0,200
Prem Jee Da Dhaba,New Delhi,North Indian,0.0,500
Welcome Food Point,New Delhi,"Chinese, North Indian",2.3,600
Arora Snacks,New Delhi,Chinese,2.8,350
Bansal Mithai Wale,New Delhi,Mithai,2.9,100
Fabulous Cake Bites,New Delhi,"Bakery, Desserts, Fast Food, Pizza, Burger, Finger Food",3.4,400
Garam Masala Food Corner,New Delhi,"North Indian, Chinese",3.3,450
Health Buzzz,New Delhi,Healthy Food,3.1,350
Kumar Pav Bhaji Corner,New Delhi,Fast Food,3.2,200
Le Chef,New Delhi,"Chinese, North Indian",3.0,400
Nainy Fast Food,New Delhi,"Chinese, Fast Food",3.3,300
Platform Nine and Three Quarters,New Delhi,"Cafe, North Indian, Continental",2.6,600
Pudding & Pie,New Delhi,"Bakery, Fast Food",3.1,450
Rapture,New Delhi,"Bakery, Fast Food",2.5,400
Sachdeva Chinese Fast Food,New Delhi,"Chinese, Fast Food",3.3,400
Simply Cakes,New Delhi,Bakery,3.2,400
The Dosa King,New Delhi,"South Indian, North Indian",2.9,400
Bhappe Di Hatti,New Delhi,"North Indian, Chinese",3.5,500
Cafetorium,New Delhi,"Cafe, Italian",3.8,600
Food Express,New Delhi,"Chinese, North Indian",3.6,800
Sai Bajaj Restaurant,New Delhi,"Chinese, North Indian",3.6,300
The Chimney Bar-Be-Que,New Delhi,"North Indian, Chinese",3.6,500
Urban Punjab,New Delhi,"North Indian, Chinese",3.6,600
Cheese Bitez Pizza,New Delhi,Fast Food,0.0,200
Goyal Sweets,New Delhi,"Mithai, Bakery",0.0,150
Gulati's Takeaway,New Delhi,"North Indian, Chinese, Mughlai",0.0,500
Jyoti Sweets,New Delhi,Mithai,0.0,300
Momos Hi Momos,New Delhi,Chinese,0.0,150
New Bhappe Di Hatti,New Delhi,Fast Food,0.0,100
Oven Fresh,New Delhi,Bakery,0.0,300
Rupa Ice Cream Parlour,New Delhi,Desserts,0.0,300
Scoopers 'n' Bakers,New Delhi,Bakery,0.0,200
South Indian Food Plaza,New Delhi,South Indian,0.0,250
Super Snacks,New Delhi,"North Indian, South Indian",0.0,300
Unique Pastry,New Delhi,"Bakery, Desserts",0.0,250
Veg Food Express,New Delhi,North Indian,0.0,400
Chintamani's Namkeen,New Delhi,"Chinese, Fast Food, North Indian, South Indian, Street Food, Mithai",2.4,350
Deltasious,New Delhi,"North Indian, Chinese, Bakery",2.2,400
Tandoori Junction,New Delhi,"North Indian, Chinese",2.4,300
Apni Rasoi,New Delhi,North Indian,2.6,300
Haldiram Bhujiawala,New Delhi,"Street Food, North Indian, South Indian, Mithai",3.4,400
Meghraj Food Court,New Delhi,"North Indian, Street Food, Mithai",3.0,250
Meghraj Sweets,New Delhi,"Mithai, Street Food, North Indian",3.2,150
Chill Out,New Delhi,Ice Cream,0.0,200
Chilli Chinese,New Delhi,Chinese,0.0,200
"34, Chowringhee Lane",New Delhi,Fast Food,3.4,350
Subway,New Delhi,"American, Fast Food, Salad, Healthy Food",2.1,500
The Golden Dragon,New Delhi,"Chinese, Seafood, Japanese",3.5,1500
KFC,New Delhi,"American, Fast Food",3.4,500
Mitra Da Dhaba,New Delhi,North Indian,3.5,400
Mr. Sub,New Delhi,Fast Food,3.7,400
Kennedy's,New Delhi,"Chinese, Fast Food",4.1,400
Keventers,New Delhi,Beverages,3.1,400
Street Foods by Punjab Grill,New Delhi,"Street Food, North Indian",3.2,600
Subway,New Delhi,"American, Fast Food, Salad, Healthy Food",3.1,500
Wow! Momo,New Delhi,Chinese,3.1,350
Biryani Blues,New Delhi,"Biryani, Hyderabadi",3.6,1000
Asia Seven Express,New Delhi,Chinese,0.0,500
Bikanervala,New Delhi,"North Indian, South Indian, Fast Food, Street Food, Chinese, Beverages, Desserts, Mithai",0.0,550
Cafe Huddle,New Delhi,Fast Food,0.0,600
Chai Garam,New Delhi,"Tea, Fast Food",0.0,300
Dolce Gelato,New Delhi,"Ice Cream, Beverages, Fast Food",0.0,300
GoGourmet,New Delhi,"Healthy Food, Beverages",0.0,600
Karim's,New Delhi,"Mughlai, North Indian",0.0,1000
Khan Chacha,New Delhi,"Mughlai, North Indian",0.0,650
Pizza Hut Delivery,New Delhi,"Italian, Pizza, Fast Food",0.0,800
Foodhall,New Delhi,"Bakery, Italian, Chinese, Mexican",0.0,700
Eat Me,New Delhi,"North Indian, Continental",2.7,600
EDC Mania,New Delhi,Fast Food,3.3,150
Elegant China X-Press,New Delhi,Chinese,3.1,400
Gopala,New Delhi,"Mithai, Street Food",3.3,250
Green Chick Chop,New Delhi,"Raw Meats, North Indian, Fast Food",3.1,350
Hangchuaa's Chinese Food Corner,New Delhi,Chinese,2.7,600
Madhuvan Chinese Fast Food,New Delhi,Chinese,2.7,300
Momos House,New Delhi,Chinese,2.9,350
Punjab Restaurant,New Delhi,"North Indian, Mughlai",3.2,600
Rhythm Restro-Bar,New Delhi,"Mughlai, Chinese, North Indian",3.0,1000
Say Cheese,New Delhi,Fast Food,2.7,400
Sona Restaurant,New Delhi,"North Indian, Mughlai",3.2,450
Uraki,New Delhi,Asian,2.7,400
Wah Ji Wah,New Delhi,North Indian,3.0,450
Annapurna Sweets,New Delhi,"Mithai, Street Food",3.9,150
Karnataka,New Delhi,"South Indian, North Indian, Chinese",3.7,500
EDC Mania,New Delhi,Fast Food,0.0,150
Faeem Chicken Corner,New Delhi,Mughlai,0.0,300
Grills N Chills,New Delhi,Fast Food,0.0,350
